record_type,timeframe,resolution,suite,symbol,period_from,period_to,n_bars,n_trades,win_rate_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,total_return_pct,cagr_pct,expectancy,profit_factor,entry_date,exit_date,side,entry_price,exit_price,pnl,commission,net_pnl,p_up,p_down,confidence,mcmc_ms
summary,15m,15,hmm_tfcompare_summary_15m,VN30F1M,20250901,20251231,1447,873,51.6609,5.606606,7.930867,32.8175,485.79,118808.3667,0.55646,1.337969,,,,,,,,,,,,
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250905,20250905,SELL,1890.89,1887.69,3.2,0.0,3.2,0.0,0.0,0.9999998616376427,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250905,20250905,SELL,1885.67,1878.56,7.11,0.0,7.11,0.0,0.9999999580161054,0.9999999580161054,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250905,20250905,SELL,1878.69,1878.35,0.34,0.0,0.34,0.0,0.9999998957373802,0.9999998957373802,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250905,20250905,SELL,1877.74,1858.99,18.75,0.0,18.75,0.0,0.9999998983342148,0.9999998983342148,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250905,20250905,SELL,1858.36,1847.56,10.8,0.0,10.8,0.0,1.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250905,20250905,SELL,1857.77,1845.48,12.29,0.0,12.29,0.0,0.9999998681559334,0.9999998681559334,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250908,20250908,SELL,1837.08,1841.77,-4.69,0.0,-4.69,0.0,0.9999359760241382,0.9999359760241382,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250908,20250908,SELL,1841.95,1834.83,7.12,0.0,7.12,0.0,0.9999997972058515,0.9999997972058515,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250908,20250908,SELL,1834.25,1842.75,-8.5,0.0,-8.5,0.0,0.9999998601980264,0.9999998601980264,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250908,20250908,SELL,1838.4,1835.26,3.14,0.0,3.14,0.0,0.0,0.9989721784576456,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250908,20250908,SELL,1833.5,1826.94,6.56,0.0,6.56,0.0,0.0,0.997328833397287,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250908,20250908,SELL,1825.28,1825.28,-0.0,0.0,-0.0,0.0,0.0,0.9959536916869878,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250908,20250908,SELL,1827.06,1828.58,-1.52,0.0,-1.52,0.0,0.0,0.9999999999998295,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250908,20250908,SELL,1829.88,1831.03,-1.15,0.0,-1.15,0.0,0.0,0.9986322522958974,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250908,20250908,SELL,1835.76,1812.61,23.15,0.0,23.15,0.0,0.0,0.996701335227262,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250909,20250909,SELL,1803.28,1811.22,-7.94,0.0,-7.94,0.0,0.0,0.8038239871993992,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250909,20250909,SELL,1811.35,1811.28,0.07,0.0,0.07,0.0,0.998881454274762,0.998881454274762,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250909,20250909,SELL,1811.29,1810.31,0.98,0.0,0.98,0.0,0.9895535854300717,0.9895535854300717,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250909,20250909,SELL,1810.28,1799.63,10.65,0.0,10.65,0.0,0.9901202006482065,0.9901202006482065,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250909,20250909,SELL,1799.55,1804.14,-4.59,0.0,-4.59,0.0,0.9982949731433913,0.9982949731433913,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250909,20250909,SELL,1804.08,1797.76,6.32,0.0,6.32,0.0,0.9910981598257679,0.9910981598257679,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250909,20250909,SELL,1798.05,1802.24,-4.19,0.0,-4.19,0.0,0.9956039343310187,0.9956039343310187,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250909,20250909,SELL,1809.62,1809.62,-0.0,0.0,-0.0,0.0,0.991769846325902,0.991769846325902,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250909,20250909,SELL,1809.43,1813.55,-4.12,0.0,-4.12,0.0,0.9948445998983635,0.9948445998983635,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250909,20250909,BUY,1813.41,1819.27,5.86,0.0,5.86,2.9677419100788596e-49,0.0,0.9999999999595843,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20250909,20250909,SELL,1824.05,1825.17,-1.12,0.0,-1.12,0.0,0.0,0.9368335378703136,0.0
