record_type,timeframe,resolution,suite,symbol,period_from,period_to,n_bars,n_trades,win_rate_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,total_return_pct,cagr_pct,expectancy,profit_factor,entry_date,exit_date,side,entry_price,exit_price,pnl,commission,net_pnl,p_up,p_down,confidence,mcmc_ms
summary,15m,15,hmm_tfcompare_summary_15m,VN30F1M,20260101,20260320,833,599,50.9182,3.311106,3.104828,38.1918,236.52,464343.4553,0.394858,1.196417,,,,,,,,,,,,
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260106,20260106,SELL,2050.37,2053.92,-3.55,0.0,-3.55,0.0,0.9999991842926926,0.9999991842926926,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260106,20260106,SELL,2054.54,2056.33,-1.79,0.0,-1.79,0.0,0.9999999995700399,0.9999999995700399,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260106,20260106,SELL,2055.99,2055.99,-0.0,0.0,-0.0,0.0,0.9999999659366777,0.9999999659366777,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260106,20260106,SELL,2055.46,2055.96,-0.5,0.0,-0.5,0.0,1.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260107,20260107,BUY,2068.38,2068.91,0.53,0.0,0.53,1.9335671280374462e-66,0.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260107,20260107,BUY,2068.63,2068.1,-0.53,0.0,-0.53,6.1545303858897205e-21,0.0,0.9999992348549199,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260107,20260107,BUY,2072.33,2069.58,-2.75,0.0,-2.75,0.05564149184207892,0.0,0.9413950201033688,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260107,20260107,BUY,2069.17,2063.83,-5.34,0.0,-5.34,4.898922475258888e-08,0.0,0.9988949115896597,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260107,20260107,BUY,2063.96,2061.71,-2.25,0.0,-2.25,3.402283186706714e-22,0.0,0.9516647260278532,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260107,20260107,SELL,2061.38,2068.62,-7.24,0.0,-7.24,0.0,0.9999999999990514,0.9999999999990514,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260107,20260107,SELL,2068.7,2065.71,2.99,0.0,2.99,0.0,0.9999999999999787,0.9999999999999787,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260107,20260107,SELL,2066.23,2066.23,-0.0,0.0,-0.0,0.0,1.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260107,20260107,SELL,2065.92,2074.5,-8.58,0.0,-8.58,0.0,0.9947986735712882,0.9947986735712882,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260107,20260107,BUY,2074.72,2078.68,3.96,0.0,3.96,4.1433014198773963e-107,0.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260107,20260107,SELL,2095.7,2096.76,-1.06,0.0,-1.06,0.0,1.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260108,20260108,SELL,2111.47,2111.82,-0.35,0.0,-0.35,0.0,1.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260108,20260108,SELL,2111.55,2113.91,-2.36,0.0,-2.36,0.0,1.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260108,20260108,SELL,2111.72,2107.63,4.09,0.0,4.09,0.0,0.999999881313549,0.999999881313549,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260108,20260108,SELL,2107.7,2111.1,-3.4,0.0,-3.4,0.0,1.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260108,20260108,SELL,2100.84,2105.27,-4.43,0.0,-4.43,0.0,5.073072152832044e-21,0.8062699607273263,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260108,20260108,SELL,2104.6,2088.92,15.68,0.0,15.68,0.0,3.920902223123959e-15,0.7504796212109753,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260108,20260108,SELL,2089.28,2079.05,10.23,0.0,10.23,0.0,0.99990756372627,0.99990756372627,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260108,20260108,SELL,2078.25,2067.08,11.17,0.0,11.17,0.0,1.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260108,20260108,SELL,2078.36,2074.03,4.33,0.0,4.33,0.0,0.9999999999956515,0.9999999999956515,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260109,20260109,SELL,2078.13,2075.4,2.73,0.0,2.73,0.0,0.9999999999980531,0.9999999999980531,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260109,20260109,SELL,2075.64,2073.29,2.35,0.0,2.35,0.0,0.9994187310764433,0.9994187310764433,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260109,20260109,SELL,2073.58,2076.07,-2.49,0.0,-2.49,0.0,0.9953144689290344,0.9953144689290344,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260109,20260109,SELL,2076.26,2072.62,3.64,0.0,3.64,0.0,0.9948648430712137,0.9948648430712137,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260109,20260109,SELL,2072.15,2072.53,-0.38,0.0,-0.38,0.0,0.9991688205976139,0.9991688205976139,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260109,20260109,SELL,2072.56,2071.32,1.24,0.0,1.24,0.0,0.9906338174729084,0.9906338174729084,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260109,20260109,SELL,2071.67,2068.14,3.53,0.0,3.53,0.0,3.4386527423784e-11,0.9942114843721718,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260109,20260109,SELL,2064.23,2064.23,-0.0,0.0,-0.0,0.0,5.305512781432054e-13,0.9995894675998291,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260109,20260109,SELL,2062.83,2080.27,-17.44,0.0,-17.44,0.0,7.762539146774269e-20,0.9947515710081225,0.0
