suite,symbol,entry_date,exit_date,side,entry_price,exit_price,pnl,commission,net_pnl,p_up,p_down,confidence,mcmc_ms
hmm_suite1,VN30F1M,20250909,20250909,SELL,1814.42,1825.17,-10.75,0.0,-10.75,0.0,0.08031113467607691,0.8430636588069891,0.0
hmm_suite1,VN30F1M,20250912,20250912,BUY,1857.99,1865.45,7.46,0.0,7.46,0.8517972349648812,0.0,0.8517972349648812,0.0
hmm_suite1,VN30F1M,20250925,20250925,BUY,1856.33,1858.67,2.34,0.0,2.34,0.9570902331044487,0.0,0.9570902331044487,0.0
hmm_suite1,VN30F1M,20251007,20251007,BUY,1929.77,1909.65,-20.12,0.0,-20.12,0.002154280617326511,0.0,0.9894083119858261,0.0
hmm_suite1,VN30F1M,20251013,20251013,BUY,1968.9,2012.28,43.38,0.0,43.38,0.00435542889258637,0.0,0.7558786303697451,0.0
hmm_suite1,VN30F1M,20251014,20251014,BUY,2036.9,2013.69,-23.21,0.0,-23.21,0.020176535046597055,0.0,0.9114572455392446,0.0
hmm_suite1,VN30F1M,20251015,20251015,SELL,2018.01,2009.64,8.37,0.0,8.37,0.0,0.0001529058847122675,0.9827021373752087,0.0
hmm_suite1,VN30F1M,20251020,20251020,SELL,1968.92,1870.86,98.06,0.0,98.06,0.0,5.412109485849399e-16,0.9999080307632603,0.0
hmm_suite1,VN30F1M,20251021,20251021,SELL,1882.66,1915.9,-33.24,0.0,-33.24,0.0,4.563759462982737e-41,1.0,0.0
hmm_suite1,VN30F1M,20251023,20251023,SELL,1935.98,1945.78,-9.8,0.0,-9.8,0.0,0.04805198546562337,0.9513098036814082,0.0
hmm_suite1,VN30F1M,20251028,20251028,SELL,1896.4,1949.28,-52.88,0.0,-52.88,0.0,1.494521453598627e-08,0.9366304024871823,0.0
hmm_suite1,VN30F1M,20251105,20251105,BUY,1888.34,1886.47,-1.87,0.0,-1.87,0.030737557350062436,0.0,0.8136081082629446,0.0
hmm_suite1,VN30F1M,20251110,20251110,SELL,1826.61,1804.18,22.43,0.0,22.43,0.0,0.0008298174935195098,0.9807858051901233,0.0
hmm_suite1,VN30F1M,20251126,20251126,BUY,1916.65,1923.55,6.9,0.0,6.9,0.02926551744876827,0.0,0.8820979594984424,0.0
hmm_suite1,VN30F1M,20251204,20251204,BUY,1977.15,1979.53,2.38,0.0,2.38,0.09598258137477032,0.0,0.8602920810842595,0.0
hmm_suite1,VN30F1M,20251210,20251210,SELL,1975.63,1946.98,28.65,0.0,28.65,0.0,7.06611589440045e-10,0.8441556360832085,0.0
hmm_suite1,VN30F1M,20251211,20251211,SELL,1941.05,1924.29,16.76,0.0,16.76,0.0,2.610269530628504e-08,0.832294423472426,0.0
hmm_suite1,VN30F1M,20251212,20251212,SELL,1928.51,1867.03,61.48,0.0,61.48,0.0,0.00026271829910253696,0.8944688920347923,0.0
hmm_suite1,VN30F1M,20251215,20251215,SELL,1868.6,1869.84,-1.24,0.0,-1.24,0.0,1.6679645587601904e-26,0.9999993120216097,0.0
hmm_suite1,VN30F1M,20251216,20251216,BUY,1871.37,1909.87,38.5,0.0,38.5,0.18539864585751786,0.0,0.8115194887989252,0.0
hmm_suite1,VN30F1M,20251217,20251217,BUY,1908.58,1897.95,-10.63,0.0,-10.63,9.302429519734009e-15,0.0,0.9999999998788098,0.0
hmm_suite1,VN30F1M,20251223,20251223,BUY,2001.45,2012.87,11.42,0.0,11.42,5.214178201934799e-09,0.0,0.9975645368571622,0.0
hmm_suite1,VN30F1M,20251226,20251226,SELL,1941.78,1965.97,-24.19,0.0,-24.19,0.0,1.9406128334125615e-08,0.9777956390075953,0.0
hmm_suite1,VN30F1M,20251229,20251229,BUY,1970.12,1990.66,20.54,0.0,20.54,0.17511472425866437,0.0,0.8246577390824996,0.0
