calmar,fail_reason,grid_refit_every,increment_sharpe,k_states,max_drawdown_pct,n_bars,n_trades,objective_score,objective_score_unconstrained,p_value,profit_factor,run_seconds,sharpe,timeframe,total_return_pct,use_basis,use_open_interest,valid,window_size
0.0,mdd>=25.0;pf<=1.2,30,,2,188.3984,650,617,,-2.694148,,0.764631,46.21,-11.342368,5m,-189.91,True,True,False,500
-1.212314,mdd>=25.0;pf<=1.2,30,,3,82.4869,650,339,,-1.572756,,0.842434,32.418,-5.153451,5m,-67.93,True,True,False,500
-2.595806,mdd>=25.0;pf<=1.2,30,,4,38.4755,650,111,,-1.596722,,0.821117,33.515,-3.821424,5m,-22.11,True,True,False,500
0.0,mdd>=25.0;pf<=1.2,30,,2,174.0635,650,618,,-2.687504,,0.781239,33.868,-10.457097,5m,-175.33,True,True,False,1000
24896.227071,mdd>=25.0;pf<=1.2,30,,3,40.5417,650,279,,4.617053,,1.142348,31.399,3.867046,5m,41.15,True,True,False,1000
-2.167828,mdd>=25.0;pf<=1.2,30,,4,44.6603,650,137,,-0.869881,,0.9152,33.421,-1.95204,5m,-12.09,True,True,False,1000
0.0,mdd>=25.0;pf<=1.2,30,,2,145.4331,650,618,,-2.287779,,0.814197,33.406,-8.711525,5m,-146.21,True,True,False,2000
21060.48287,mdd>=25.0;pf<=1.2,30,,3,40.5417,650,307,,4.572509,,1.131237,32.704,3.733382,5m,40.27,True,True,False,2000
-1.530279,mdd>=25.0;pf<=1.2,30,,4,65.3476,650,139,,-2.305915,,0.696017,36.472,-7.084126,5m,-52.82,True,True,False,2000
0.0,mdd>=25.0;pf<=1.2,30,,2,157.8409,650,618,,-2.520306,,0.799766,47.028,-9.467374,5m,-158.83,True,True,False,3000
27663.777832,mdd>=25.0;pf<=1.2,30,,3,40.2578,650,281,,4.621197,,1.142097,31.533,3.881195,5m,41.67,True,True,False,3000
-1.541834,mdd>=25.0;pf<=1.2,30,,4,64.8578,650,129,,-2.319083,,0.683713,32.353,-7.10006,5m,-51.89,True,True,False,3000
9468.260259,mdd>=25.0;pf<=1.2,30,,2,48.7032,650,617,,4.495907,,1.159854,34.668,3.439886,15m,157.57,True,True,False,500
88.989953,mdd>=25.0;pf<=1.2,30,,3,60.6165,650,333,,3.885564,,1.096533,37.262,1.489834,15m,56.72,True,True,False,500
-1.70324,mdd>=25.0;pf<=1.2,30,,4,57.2733,650,120,,-0.735707,,0.839919,30.09,-1.869008,15m,-34.03,True,True,False,500
61621.228313,mdd>=25.0,30,,2,48.7032,650,607,,4.933333,,1.233624,33.375,4.799613,15m,217.77,True,True,False,1000
3.569339,mdd>=25.0;pf<=1.2,30,,3,86.9875,650,371,,1.612593,,1.025884,33.713,0.438126,15m,17.16,True,True,False,1000
406.276638,trades<=100,30,,4,13.0255,650,73,,4.901704,,1.643868,23.844,4.147188,15m,56.39,True,True,False,1000
47942.376977,mdd>=25.0,30,,2,48.7032,650,607,,4.870575,,1.223106,37.596,4.604443,15m,208.95,True,True,False,2000
107.56109,mdd>=25.0;pf<=1.2,30,,3,86.9875,650,366,,3.953216,,1.105351,34.526,1.703585,15m,66.56,True,True,False,2000
406.276638,trades<=100,30,,4,13.0255,650,73,,4.901704,,1.643868,23.214,4.147188,15m,56.39,True,True,False,2000
98966.747563,mdd>=25.0,30,,2,48.7032,650,604,,5.076592,,1.258878,33.252,5.24347,15m,235.11,True,True,False,3000
143.7885,mdd>=25.0;pf<=1.2,30,,3,86.9875,650,368,,3.998302,,1.113994,33.946,1.842347,15m,72.02,True,True,False,3000
547.076959,trades<=100,30,,4,13.0255,650,69,,5.152588,,1.809274,21.815,4.762928,15m,61.61,True,True,False,3000
-0.052502,mdd>=25.0;pf<=1.2,30,,2,105.6586,425,387,,0.379359,,0.998674,14.506,-0.014532,1h,-1.66,True,True,False,500
-0.1295,mdd>=25.0;pf<=1.2,30,,3,121.0973,425,201,,0.337906,,0.991816,13.602,-0.066569,1h,-4.88,True,True,False,500
13.085013,mdd>=25.0;trades<=100,30,,4,26.1484,425,57,,4.171549,,1.5,14.198,1.905165,1h,54.65,True,True,False,500
-0.052502,mdd>=25.0;pf<=1.2,30,,2,105.6586,425,387,,0.379359,,0.998674,16.036,-0.014532,1h,-1.66,True,True,False,1000
-0.1295,mdd>=25.0;pf<=1.2,30,,3,121.0973,425,201,,0.337906,,0.991816,14.707,-0.066569,1h,-4.88,True,True,False,1000
13.085013,mdd>=25.0;trades<=100,30,,4,26.1484,425,57,,4.171549,,1.5,14.195,1.905165,1h,54.65,True,True,False,1000
-0.052502,mdd>=25.0;pf<=1.2,30,,2,105.6586,425,387,,0.379359,,0.998674,14.914,-0.014532,1h,-1.66,True,True,False,2000
-0.1295,mdd>=25.0;pf<=1.2,30,,3,121.0973,425,201,,0.337906,,0.991816,13.342,-0.066569,1h,-4.88,True,True,False,2000
13.085013,mdd>=25.0;trades<=100,30,,4,26.1484,425,57,,4.171549,,1.5,13.652,1.905165,1h,54.65,True,True,False,2000
-0.052502,mdd>=25.0;pf<=1.2,30,,2,105.6586,425,387,,0.379359,,0.998674,15.528,-0.014532,1h,-1.66,True,True,False,3000
-0.1295,mdd>=25.0;pf<=1.2,30,,3,121.0973,425,201,,0.337906,,0.991816,13.868,-0.066569,1h,-4.88,True,True,False,3000
13.085013,mdd>=25.0;trades<=100,30,,4,26.1484,425,57,,4.171549,,1.5,13.857,1.905165,1h,54.65,True,True,False,3000
